Year,Month,Province,PM2.5
2020,Aug,กาฬสินธุ์,18.0
2020,Aug,ชัยภูมิ,11.0
2020,Aug,ยโสธร,13.0
2020,Aug,อำนาจเจริญ,15.0
2020,Aug,สุรินทร์,7.0
2020,Aug,ศรีสะเกษ,8.0
2020,Aug,ร้อยเอ็ด,11.643538461538462
2020,Aug,มหาสารคาม,11.643538461538462
2020,Aug,หนองบัวลำภู,11.643538461538462
2020,Aug,ฉะเชิงเทรา,11.0
2020,Aug,ชลบุรี,11.666666666666666
2020,Aug,ตราด,10.25
2020,Aug,ระยอง,10.0
2020,Aug,สระแก้ว,8.0
2020,Aug,ปราจีนบุรี,14.0
2020,Aug,จันทบุรี,8.333333333333334
2020,Aug,นครนายก,12.0
2020,Aug,กาญจนบุรี,9.0
2020,Aug,ราชบุรี,10.0
2020,Aug,สุพรรณบุรี,11.5
2020,Aug,ประจวบคีรีขันธ์,9.666666666666666
2020,Aug,เพชรบุรี,11.643538461538462
2020,Aug,นราธิวาส,16.0
2020,Aug,นครศรีธรรมราช,12.25
2020,Aug,ภูเก็ต,16.0
2020,Aug,ยะลา,14.5
2020,Aug,สงขลา,21.0
2020,Aug,สุราษฎร์ธานี,13.0
2020,Aug,สตูล,12.0
2020,Aug,ตรัง,9.5
2020,Aug,ชุมพร,11.643538461538462
2020,Aug,กระบี่,11.643538461538462
2020,Aug,พัทลุง,11.643538461538462
2020,Aug,ปัตตานี,11.643538461538462
2020,Aug,ระนอง,11.643538461538462
2020,Aug,พังงา,11.643538461538462
2020,Sep,กรุงเทพมหานคร,14.083333333333334
2020,Sep,นนทบุรี,9.5
2020,Sep,ปทุมธานี,12.0
2020,Sep,สมุทรปราการ,13.8
2020,Sep,สมุทรสาคร,13.0
2020,Sep,นครปฐม,8.0
2020,Sep,พระนครศรีอยุธยา,11.0
2020,Sep,สระบุรี,17.0
2020,Sep,ลพบุรี,14.333333333333334
2020,Sep,สิงห์บุรี,16.0
2020,Sep,อ่างทอง,11.182065268065267
2020,Sep,ชัยนาท,11.182065268065267
2020,Sep,สมุทรสงคราม,9.25
2020,Sep,นครสวรรค์,13.0
2020,Sep,อุทัยธานี,12.666666666666666
2020,Sep,เชียงราย,10.5
2020,Sep,เชียงใหม่,10.0
2020,Sep,น่าน,9.0
2020,Sep,พะเยา,10.0
2020,Sep,พิษณุโลก,8.0
2020,Sep,แพร่,11.0
2020,Sep,แม่ฮ่องสอน,5.0
2020,Sep,ลำปาง,8.75
2020,Sep,ลำพูน,19.0
2020,Sep,ตาก,6.0
2020,Sep,อุตรดิตถ์,10.5
2020,Sep,สุโขทัย,7.333333333333333
2020,Sep,พิจิตร,8.666666666666666
2020,Sep,เพชรบูรณ์,10.333333333333334
