Station,Year,Month,PM2.5
61T,2021,Apr,19.0
61T,2021,May,16.0
61T,2021,Jun,15.0
61T,2021,Jul,14.0
61T,2021,Aug,14.0
61T,2021,Sep,15.0
61T,2021,Oct,16.0
61T,2021,Nov,20.0
61T,2021,Dec,29.0
59T,2021,Jan,38.0
59T,2021,Feb,37.0
59T,2021,Mar,23.0
59T,2021,Apr,16.0
59T,2021,May,11.0
59T,2021,Jun,10.0
59T,2021,Jul,8.0
59T,2021,Aug,8.0
59T,2021,Sep,9.0
59T,2021,Oct,13.0
59T,2021,Nov,18.0
59T,2021,Dec,29.0
54R,2021,Jan,53.0
54R,2021,Feb,57.0
54R,2021,Mar,40.0
54R,2021,Apr,32.0
54R,2021,May,24.0
54R,2021,Jun,23.0
54R,2021,Jul,21.0
54R,2021,Aug,20.0
54R,2021,Sep,24.0
54R,2021,Oct,27.0
54R,2021,Nov,31.0
54R,2021,Dec,41.0
53R,2021,Jan,47.0
53R,2021,Feb,46.0
53R,2021,Mar,26.0
53R,2021,Apr,23.0
53R,2021,May,17.0
53R,2021,Jun,13.0
53R,2021,Jul,10.0
53R,2021,Aug,10.0
53R,2021,Sep,14.0
53R,2021,Oct,20.0
53R,2021,Nov,26.0
53R,2021,Dec,41.0
50R,2021,Jan,44.0
50R,2021,Feb,45.0
50R,2021,Mar,29.0
50R,2021,Apr,23.0
50R,2021,May,18.0
50R,2021,Jun,16.0
50R,2021,Jul,14.0
50R,2021,Aug,14.0
50R,2021,Sep,16.0
50R,2021,Oct,19.0
50R,2021,Nov,24.0
50R,2021,Dec,36.0
52R,2021,Jan,45.0
52R,2021,Feb,44.0
52R,2021,Mar,28.0
52R,2021,Apr,23.0
52R,2021,May,17.0
52R,2021,Jun,16.0
52R,2021,Jul,14.0
52R,2021,Aug,14.0
52R,2021,Sep,16.0
52R,2021,Oct,20.0
52R,2021,Nov,25.0
52R,2021,Dec,38.0
12T,2021,Jan,39.0
12T,2021,Feb,37.0
12T,2021,Mar,24.0
12T,2021,Apr,18.0
12T,2021,May,12.0
12T,2021,Jun,14.0
12T,2021,Jul,10.0
12T,2021,Aug,10.0
12T,2021,Sep,12.0
12T,2021,Oct,14.0
12T,2021,Nov,21.0
12T,2021,Dec,31.0
11T,2021,Jan,41.0
11T,2021,Feb,42.0
11T,2021,Mar,27.0
11T,2021,Apr,20.0
11T,2021,May,12.0
11T,2021,Jun,12.0
11T,2021,Jul,10.0
11T,2021,Aug,10.0
11T,2021,Sep,11.0
11T,2021,Oct,14.0
11T,2021,Nov,20.0
11T,2021,Dec,31.0
10T,2021,Jan,35.0
10T,2021,Feb,44.0
10T,2021,Mar,31.0
10T,2021,Apr,18.0
10T,2021,May,14.0
10T,2021,Jun,12.0
10T,2021,Jul,9.0
10T,2021,Aug,9.0
10T,2021,Sep,11.0
10T,2021,Oct,13.0
10T,2021,Nov,19.0
10T,2021,Dec,28.0
03R,2021,Jan,57.0
03R,2021,Feb,54.0
03R,2021,Mar,36.0
03R,2021,Apr,27.0
03R,2021,May,23.0
03R,2021,Jun,21.0
03R,2021,Jul,18.0
03R,2021,Aug,18.0
03R,2021,Sep,20.0
03R,2021,Oct,23.0
03R,2021,Nov,31.0
03R,2021,Dec,40.0
05T,2021,Jan,40.0
05T,2021,Feb,39.0
05T,2021,Mar,22.0
05T,2021,Apr,17.0
05T,2021,May,12.0
05T,2021,Jun,11.0
05T,2021,Jul,9.0
05T,2021,Aug,8.0
05T,2021,Sep,11.0
05T,2021,Oct,13.0
05T,2021,Nov,20.0
05T,2021,Dec,37.0
02T,2021,Jan,48.0
02T,2021,Feb,46.0
02T,2021,Mar,27.0
02T,2021,Apr,21.0
02T,2021,May,15.0
02T,2021,Jun,13.0
02T,2021,Jul,12.0
02T,2021,Aug,13.0
02T,2021,Sep,15.0
02T,2021,Oct,19.0
02T,2021,Nov,25.0
02T,2021,Dec,38.0
81T,2021,Jan,45.0
81T,2021,Feb,44.0
81T,2021,Mar,26.0
81T,2021,Apr,17.0
81T,2021,May,11.0
81T,2021,Jun,11.0
81T,2021,Jul,9.0
81T,2021,Aug,10.0
81T,2021,Sep,12.0
81T,2021,Oct,15.0
81T,2021,Nov,25.0
81T,2021,Dec,38.0
27T,2021,Jan,57.0
27T,2021,Feb,48.0
27T,2021,Mar,24.0
27T,2021,Apr,20.0
27T,2021,May,16.0
27T,2021,Jun,14.0
27T,2021,Jul,12.0
27T,2021,Aug,12.0
27T,2021,Sep,15.0
27T,2021,Oct,21.0
27T,2021,Nov,33.0
27T,2021,Dec,48.0
14T,2021,Jan,49.0
14T,2021,Feb,48.0
14T,2021,Mar,31.0
14T,2021,Apr,24.0
14T,2021,May,19.0
14T,2021,Jun,19.0
14T,2021,Jul,15.0
14T,2021,Aug,16.0
14T,2021,Sep,16.0
14T,2021,Oct,18.0
14T,2021,Nov,25.0
14T,2021,Dec,36.0
19T,2021,Jan,48.0
19T,2021,Feb,47.0
19T,2021,Mar,27.0
19T,2021,Apr,23.0
19T,2021,May,18.0
19T,2021,Jun,15.0
19T,2021,Jul,13.0
19T,2021,Aug,12.0
19T,2021,Sep,15.0
19T,2021,Oct,21.0
19T,2021,Nov,24.0
19T,2021,Dec,36.0
18T,2021,Jan,55.0
18T,2021,Feb,54.0
18T,2021,Mar,34.0
18T,2021,Apr,34.0
18T,2021,May,28.0
18T,2021,Jun,25.0
18T,2021,Jul,22.0
18T,2021,Aug,21.0
18T,2021,Sep,23.0
18T,2021,Oct,27.0
18T,2021,Nov,33.0
18T,2021,Dec,49.0
17T,2021,Jan,36.0
17T,2021,Feb,36.0
17T,2021,Mar,21.0
17T,2021,Apr,16.0
17T,2021,May,11.0
17T,2021,Jun,11.0
17T,2021,Jul,9.0
17T,2021,Aug,9.0
17T,2021,Sep,11.0
17T,2021,Oct,13.0
17T,2021,Nov,18.0
17T,2021,Dec,30.0
08T,2021,Jan,45.0
08T,2021,Feb,45.0
08T,2021,Mar,28.0
08T,2021,Apr,22.0
08T,2021,May,17.0
08T,2021,Jun,15.0
08T,2021,Jul,13.0
08T,2021,Aug,13.0
08T,2021,Sep,16.0
08T,2021,Oct,18.0
08T,2021,Nov,24.0
08T,2021,Dec,34.0
16T,2021,Jan,40.0
16T,2021,Feb,38.0
16T,2021,Mar,21.0
16T,2021,Apr,17.0
16T,2021,May,12.0
16T,2021,Jun,12.0
16T,2021,Jul,9.0
16T,2021,Aug,10.0
16T,2021,Sep,12.0
16T,2021,Oct,15.0
16T,2021,Nov,20.0
16T,2021,Dec,32.0
20T,2021,Jan,46.0
20T,2021,Feb,47.0
20T,2021,Mar,30.0
20T,2021,Apr,21.0
20T,2021,May,15.0
20T,2021,Jun,12.0
20T,2021,Jul,11.0
20T,2021,Aug,12.0
20T,2021,Sep,14.0
20T,2021,Oct,16.0
20T,2021,Nov,20.0
20T,2021,Dec,32.0
22T,2021,Jan,33.0
22T,2021,Feb,35.0
22T,2021,Mar,22.0
22T,2021,Apr,15.0
22T,2021,May,10.0
22T,2021,Jun,8.0
22T,2021,Jul,7.0
22T,2021,Aug,7.0
22T,2021,Sep,9.0
22T,2021,Oct,12.0
22T,2021,Nov,17.0
22T,2021,Dec,28.0
13T,2021,Jan,41.0
